Date,Open,High,Low,Last,Diff_Open_Cls
9/26/2020,10722.73,10827.07,10643.85,10717.81,4.92
9/27/2020,10632.4,10822,10552,10722.73,-90.33
9/28/2020,10739.25,10960,10695.37,10874.25,-135
9/29/2020,10868.62,10898,10624.5,10753.84,114.78
9/30/2020,10756.75,10884,10658.24,10711.5,45.25
10/1/2020,10702.55,10954,10435.41,10602.25,100.3
10/2/2020,10611.25,10684,10376.01,10544.55,66.7
10/3/2020,10531.93,10615,10522.43,10580.46,-48.53
10/4/2020,10611.25,10684,10376.01,10544.72,66.53
10/5/2020,10609.75,10784,10596.62,10737.95,-128.2
10/6/2020,10744,10818,10513.37,10545.17,198.83
10/7/2020,10545.16,10687,10513.37,10656.19,-111.03
10/8/2020,10671,10970,10533,10899.75,-228.75
10/9/2020,10893.53,11123,10826.4,11036.99,-143.46
10/10/2020,11036.98,11504,11021.64,11364.07,-327.09
10/11/2020,10893.53,11123,10826.4,11036.99,-143.46
10/12/2020,11422.32,11610,11175.99,11568.69,-146.37
10/13/2020,11564.99,11739,11308.8,11429.81,135.18
10/14/2020,11429.82,11563,11287.9,11394.8,35.02
10/15/2020,11393.5,11623.62,11251.94,11544.36,-150.86
10/16/2020,11542,11551.25,11200,11312.75,229.25
10/17/2020,11312,11417,11261.04,11357.57,-45.57
10/18/2020,11542,11551.25,11200,11312.75,229.25
10/19/2020,11466.87,11840,11401.82,11740,-273.13
10/20/2020,11739.62,12055.2,11679.71,11901.26,-161.64
10/21/2020,11907.71,12921.39,11881.55,12857.5,-949.79
10/22/2020,12855,13247.85,12660.11,13130.5,-275.5
10/23/2020,13127.38,13211,12727.31,12948.99,178.39
10/24/2020,12937.63,13177,12868.01,13112.2,-174.57
10/25/2020,13127.38,13211,12727.31,12948.99,178.39
10/26/2020,13017,13252.56,12771.12,13016.36,0.64
10/27/2020,13025.5,13766.66,12984.2,13613.17,-587.67
10/28/2020,13615.91,13863.66,12870.68,13204.9,411.01
10/29/2020,13221.53,13654.9,12972,13484.25,-262.72
10/30/2020,13498.46,13706.56,13120,13636,-137.54
10/31/2020,13661.09,14101.46,13405.14,13840,-178.91
11/1/2020,13498.46,13706.56,13120,13636,-137.54
11/2/2020,13823.08,13870.25,13205,13618,205.08
11/3/2020,13626.75,13808.92,13273.72,13742,-115.25
11/4/2020,13736.93,14274.53,13520.87,14006.83,-269.9
11/5/2020,14021.01,15316.67,13992.4,15245.12,-1224.11
11/6/2020,15245.12,15976.81,15164.1,15561.25,-316.13
11/7/2020,15547.14,15776.51,14341.71,14837.59,709.55
11/8/2020,15245.12,15976.81,15164.1,15561.25,-316.13
11/9/2020,15582.91,15851.63,14818,15382.5,200.41
11/10/2020,15391.5,15479.89,15090.48,15398.69,-7.19
11/11/2020,15389.5,15999.99,15258,15831.87,-442.37
11/12/2020,15829.75,16224.53,15465,16157.25,-327.5
11/13/2020,16153.31,16494.56,15969.97,16304.3,-150.99
11/14/2020,16288.01,16379.99,15983.87,16007.06,280.95
11/15/2020,16153.31,16494.56,15969.97,16304.3,-150.99
11/16/2020,15897.42,16893.25,15786.46,16705.75,-808.33
11/17/2020,16705.7,17882.26,16555.46,17642.89,-937.19
11/18/2020,17636.9,18491.57,17172.11,17789.75,-152.85
11/19/2020,17777.82,18194.21,17346.62,17944.4,-166.58
11/20/2020,17956.04,18830.5,17704.2,18596.42,-640.38
11/21/2020,18582,18977.99,18333.45,18643.79,-61.79
11/22/2020,18671.25,18765.91,17600,18493.45,177.8
11/23/2020,18490.89,18781.61,18001,18423.19,67.7
11/24/2020,18430.6,19441.51,18011.03,18949.04,-518.44
11/25/2020,18949.05,19510,18582.17,18870.47,78.58
11/26/2020,18870.47,18928.11,16203.25,17058.13,1812.34
11/27/2020,17047.31,17476.99,16434,17008.42,38.89
11/28/2020,17006.61,17896.64,16862.65,17760,-753.39
11/29/2020,17057.75,17476.99,16434,17008.42,49.33
11/30/2020,18103.75,19878.99,18008.07,19376.24,-1272.49
12/1/2020,19384.5,19929.75,18100,19042.97,341.53
12/2/2020,19054,19343.29,18334,19159.5,-105.5
12/3/2020,19158.99,19622.04,18860.63,19461,-302.01
12/4/2020,19460.75,19558.32,18671.61,18822.61,638.14
12/5/2020,18816.49,19213.52,18500,19007.59,-191.1
12/6/2020,19010.52,19372.8,18870.56,19134.58,-124.06
12/7/2020,19140.5,19437.65,18905,19080.75,59.75
12/8/2020,19085.01,19321.85,18611.79,18765.05,319.96
12/9/2020,18765.06,18856.84,17610,18512.17,252.89
12/10/2020,18523.04,18655.7,17902.67,18344.21,178.83
12/11/2020,18349.75,18408.39,17569.59,18109.46,240.29
12/12/2020,18109.47,18860.87,18006.83,18805.15,-695.68
12/13/2020,18349.75,18408.39,17569.59,18109.46,240.29
12/14/2020,19265.03,19336.68,18956.81,19195.75,69.28
12/15/2020,19200.99,19562.25,19050,19424.94,-223.95
12/16/2020,19435.59,21309.27,19263.8,21214.51,-1778.92
12/17/2020,21202.6,23774.4,21141.94,22787.21,-1584.61
12/18/2020,22793.58,23286,22306.05,22900.5,-106.92
12/19/2020,22912.63,24182.56,22725.62,23987.87,-1075.24
12/20/2020,24004.08,24299.75,23062.6,23361.43,642.65
12/21/2020,23745.25,24299.75,21864.86,23144.47,600.78
12/22/2020,23135,23618.33,22382.65,23439.64,-304.64
12/23/2020,23439.64,24094.4,22764.87,23290.58,149.06
12/24/2020,23295.14,23555.46,22585.41,23397.91,-102.77
12/25/2020,23402.25,24658.84,23339.19,24405.52,-1003.27
12/26/2020,24412.6,26816.32,24301.57,26662.16,-2249.56
12/27/2020,26676.5,28382.45,25983.25,26748.79,-72.29
12/28/2020,26766,27481.6,25770,26584.87,181.13
12/29/2020,26584.87,27190.75,25831.85,26893.11,-308.24
12/30/2020,26893.11,29009,26866.19,28911,-2017.89
12/31/2020,28896.96,29315.25,27813.8,28987.6,-90.64
1/1/2021,28987.6,29698,28610.68,29260.25,-272.65
1/2/2021,29247.92,33309.99,28947.3,31696.74,-2448.82
1/3/2021,28987.6,29698,28610.68,29260.25,-272.65
1/4/2021,32909.14,33867.5,27630,31031.51,1877.63
1/5/2021,31025.6,34279.75,29905.31,33813.69,-2788.09
1/6/2021,33813.69,36595.34,33273.92,35930.6,-2116.91
1/7/2021,35942.15,40426.5,35660.43,39772.25,-3830.1
1/8/2021,39712.12,41998.75,36550,40063.15,-351.03
1/9/2021,40093.25,41448.5,38765,40857.39,-764.14
1/10/2021,40857.4,41460.5,37173,38594.9,2262.5
1/11/2021,38598.03,39049.97,30156.35,33951.5,4646.53
1/12/2021,33933.36,36651.6,32257.78,34678.66,-745.3
1/13/2021,34678.65,37400.22,32327.18,37267.57,-2588.92
1/14/2021,37267.58,40112.78,36717.23,38720.86,-1453.28
1/15/2021,38772.4,39696.99,34353.63,36250.18,2522.22
1/16/2021,36250.27,37936.38,35501.44,35920.05,330.22
1/17/2021,38772.4,39696.99,34353.63,36250.18,2522.22
1/18/2021,35797.97,37431.26,34748.83,36228.07,-430.1
1/19/2021,36228.08,37873.64,36051.88,36476,-247.92
1/20/2021,36481.05,36799.93,33371,34903.15,1577.9
1/21/2021,34903.15,35725.29,30848.58,31182.37,3720.78
1/22/2021,31182.37,33892.5,28745.55,33311.02,-2128.65
1/23/2021,33311.02,33678.47,31401.97,32370.67,940.35
1/24/2021,32384.25,33073.95,31526.73,31889.44,494.81
1/25/2021,31875.68,34897.03,30891.98,32695.53,-819.85
1/26/2021,32690.1,32891.08,30830.03,32005.74,684.36
1/27/2021,32005.74,32998.99,29150.01,31011.8,993.94
1/28/2021,31001.12,33349.99,29870.55,33257.54,-2256.42
1/29/2021,33257.55,38661.84,31968.27,34641.5,-1383.95
1/30/2021,34601.81,35360.02,32800,34684.99,-83.18
1/31/2021,34687.22,34803.44,32158.53,32321.4,2365.82
2/1/2021,32302.81,34711.11,32115.03,33655.37,-1352.56
