Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
11/2/2020 2:30,13752.65,13766.72,13656.41,13698.37,1251.1187,-6.265094404,2.534940612,13854.82935,13771.28369,13687.73804
11/2/2020 3:00,13698.37,13740.67,13689.22,13719.52,835.8302,-9.469288458,0.134094798,13854.81357,13766.35382,13677.89407
11/2/2020 3:30,13719.51,13735.88,13653.27,13680.41,798.8831,-14.99167083,-2.891058326,13858.85515,13758.16869,13657.48223
11/2/2020 4:00,13680.41,13713.41,13648.09,13697.54,721.0001,-17.7809827,-5.869043201,13857.28185,13752.39453,13647.50722
11/2/2020 4:30,13697.54,13722.54,13675,13680.4,507.2052,-21.13100217,-8.921434995,13856.93839,13745.53791,13634.13742
11/2/2020 5:00,13680.63,13702.35,13647.78,13699.45,753.6291,-21.99519404,-11.5361868,13854.90141,13741.14858,13627.39576
11/2/2020 5:30,13699.45,13699.45,13640,13685.07,684.3951,-23.56873247,-13.94269594,13848.99492,13735.80777,13622.62062
11/2/2020 6:00,13685.06,13706.78,13667.2,13688.47,513.7537,-24.2617471,-16.00650617,13846.02765,13731.29941,13616.57117
11/2/2020 6:30,13688.48,13737.59,13676.59,13726.51,825.0864,-21.49369023,-17.10394298,13836.84505,13730.84327,13624.84149
11/2/2020 7:00,13726.51,13758.97,13713.87,13733.57,829.281,-18.51685148,-17.38652468,13829.70721,13731.10296,13632.49871
11/2/2020 7:30,13733.57,13759.26,13710.95,13744.68,756.0375,-15.08728435,-16.92667661,13818.71165,13732.39601,13646.08038
11/2/2020 8:00,13745,13750,13726.29,13741,531.5225,-12.52192794,-16.04572688,13812.08231,13733.21544,13654.34857
11/2/2020 8:30,13741,13741,13640,13640.9,1659.4214,-18.35451847,-16.5074852,13808.11636,13724.42349,13640.73062
11/2/2020 9:00,13640.9,13669.82,13420,13447.31,5037.2315,-38.15812053,-20.83761227,13846.33863,13698.03173,13549.72483
11/2/2020 9:30,13447.32,13563.6,13417.47,13493.15,2324.7481,-49.58216066,-26.58652194,13857.30941,13678.51919,13499.72896
11/2/2020 10:00,13493.16,13580.94,13493.15,13571.64,1577.6483,-51.70627004,-31.61047156,13853.20032,13668.34022,13483.48011
11/2/2020 10:30,13571.64,13571.65,13500,13518.33,1042.4924,-57.03386263,-36.69514978,13845.04817,13654.05353,13463.05889
11/2/2020 11:00,13518.32,13540,13461.08,13492.7,1075.0415,-62.60250226,-41.87662027,13836.09337,13638.68653,13441.27968
11/2/2020 11:30,13492.69,13513.16,13357.42,13419.52,3179.8302,-72.08969853,-47.91923592,13834.15664,13617.81352,13401.47041
11/2/2020 12:00,13419.92,13457.52,13367.12,13408.44,2947.795,-79.58502668,-54.25239407,13831.47136,13597.87319,13364.27501
11/2/2020 12:30,13408.45,13427.51,13326.5,13421.55,3022.0775,-83.50467093,-60.10284945,13829.25688,13581.0805,13332.90412
11/2/2020 13:00,13421.55,13425,13195.05,13297.01,4924.9453,-95.55881192,-67.19404194,13834.4227,13554.02617,13273.62964
11/2/2020 13:30,13297.57,13374.88,13278.05,13363.08,1918.4884,-98.64340886,-73.48391532,13830.59155,13535.84082,13241.09009
11/2/2020 14:00,13363.08,13440.04,13350,13394.02,1855.0245,-97.4678263,-78.28069752,13820.3813,13522.33408,13224.28685
11/2/2020 14:30,13394.02,13424.01,13335.97,13420,1418.3638,-93.36356274,-81.29727056,13809.40739,13512.58797,13215.76856
11/2/2020 15:00,13420,13505.66,13406.71,13469.06,2092.2644,-85.17038117,-82.07189268,13795.26898,13508.44245,13221.61592
11/2/2020 15:30,13469.05,13504.18,13447.66,13490.26,1250.7471,-76.0894511,-80.87540437,13782.97962,13506.71079,13230.44196
11/2/2020 16:00,13490.26,13541.85,13461.93,13500.67,1639.5347,-67.27721869,-78.15576723,13770.26128,13506.13548,13242.00967
11/2/2020 16:30,13500.67,13545,13474.87,13519.49,1597.1606,-58.10504551,-74.14562289,13752.5809,13507.40734,13262.23377
11/2/2020 17:00,13519.5,13524.32,13481.97,13517.13,1039.143,-50.44496629,-69.40549157,13731.9525,13508.3333,13284.71411
11/2/2020 17:30,13517.14,13548.89,13492.12,13544.56,859.4813,-41.68046016,-63.86048529,13711.35642,13511.78347,13312.21052
11/2/2020 18:00,13544.57,13544.57,13485.08,13512.51,815.5983,-36.89538602,-58.46746543,13683.1519,13511.85266,13340.55342
11/2/2020 18:30,13512.51,13530.49,13472.2,13490.36,868.0853,-34.49288763,-53.67254987,13669.01366,13509.80574,13350.59782
11/2/2020 19:00,13490.37,13491,13447.81,13458.26,744.6365,-34.77819074,-49.89367805,13657.98997,13504.89662,13351.80328
11/2/2020 19:30,13458.27,13539.36,13455.21,13525.66,734.6335,-29.22874798,-45.76069203,13662.16704,13506.87409,13351.58113
11/2/2020 20:00,13525.65,13555.41,13517.35,13552,689.6331,-22.44660625,-41.09787488,13669.8309,13511.17179,13352.51268
11/2/2020 20:30,13552.01,13700,13547.98,13664.3,2002.7333,-7.918756098,-34.46205112,13713.24658,13525.75543,13338.26428
11/2/2020 21:00,13664.5,13693.58,13636.98,13663.21,1063.5842,3.466753349,-26.87629023,13748.67408,13538.84634,13329.0186
11/2/2020 21:30,13663.2,13668.51,13600.53,13620.38,1049.6696,8.930878945,-19.71485639,13760.35382,13546.61145,13332.86908
11/2/2020 22:00,13620.38,13633.33,13595.66,13605,729.6539,11.88321804,-13.39524151,13763.55635,13552.17227,13340.78818
11/2/2020 22:30,13605,13631.07,13565,13626.33,575.3978,15.7624214,-7.563708924,13771.03417,13559.23491,13347.43564
11/2/2020 23:00,13626.55,13648.68,13548.71,13585,716.0943,15.3250745,-2.985952238,13740.3352,13561.68873,13383.04225
11/2/2020 23:30,13585,13599.42,13564.75,13589.79,545.8689,15.18988734,0.649215677,13721.6295,13564.36504,13407.10058
11/3/2020 0:00,13589.79,13606.04,13534.15,13549.36,643.3703,11.68568215,2.856508973,13699.91167,13562.93599,13425.96031
11/3/2020 0:30,13549.63,13575.49,13437,13474.9,1575.0428,2.867223025,2.858651783,13679.04935,13554.55161,13430.05387
11/3/2020 1:00,13474.91,13539.42,13471.18,13528.16,582.0388,0.174159911,2.321753409,13670.90106,13552.03812,13433.17518
11/3/2020 1:30,13528.16,13573.43,13527.33,13551.38,589.933,-8.55E-02,1.840309356,13667.58746,13551.97544,13436.36342
11/3/2020 2:00,13551.39,13607.1,13527.79,13597.18,655.3191,3.365657092,2.145378903,13670.68895,13556.28064,13441.87233
11/3/2020 2:30,13597.17,13642,13592.53,13594.5,908.3848,5.817384891,2.8797801,13673.86192,13559.92058,13445.97923
11/3/2020 3:00,13594.5,13603.49,13387.05,13432.46,2325.507,-5.254308541,1.252962372,13675.43067,13547.78147,13420.13228
11/3/2020 3:30,13432.05,13476,13310,13380.99,2536.1263,-17.97470301,-2.592570705,13684.07529,13531.89657,13379.71786
11/3/2020 4:00,13380.99,13440,13324.39,13393.48,2097.2402,-26.73963084,-7.421982732,13688.71642,13518.71404,13348.71167
11/3/2020 4:30,13393.47,13395.73,13332.32,13356.18,2027.5109,-36.27751298,-13.19308878,13696.36445,13503.23461,13310.10477
11/3/2020 5:00,13356.18,13421.25,13311.29,13417.9,1704.3081,-38.41326094,-18.23712321,13696.86727,13495.1075,13293.34774
11/3/2020 5:30,13417.9,13449.82,13392.09,13409.14,1536.9743,-40.34761321,-22.65922121,13697.92859,13486.92012,13275.91165
11/3/2020 6:00,13409.13,13428.53,13351.01,13372.98,795.7028,-44.28788791,-26.98495455,13698.93966,13476.06868,13253.1977
11/3/2020 6:30,13372.99,13438.5,13284.99,13420.27,2281.2307,-43.0978708,-30.2075378,13682.17044,13470.75452,13259.3386
11/3/2020 7:00,13420.26,13454.01,13404,13423.16,1696.0253,-41.44383607,-32.45479745,13663.08474,13466.22171,13269.35868
11/3/2020 7:30,13423.16,13447.98,13395.19,13398.32,1237.7481,-41.65718394,-34.29527475,13649.70159,13459.75488,13269.80817
11/3/2020 8:00,13398.32,13448.6,13392,13444.85,1458.1632,-37.63781622,-34.96378305,13637.53483,13458.33537,13279.13591
11/3/2020 8:30,13444.85,13540,13404.45,13509.59,2464.0888,-28.89537352,-33.75010114,13626.2365,13463.21676,13300.19703
11/3/2020 9:00,13509.64,13555.47,13499.1,13513.99,1254.1955,-21.36559222,-31.27319936,13623.08788,13468.05231,13313.01674
11/3/2020 9:30,13514,13528.23,13474.28,13519.77,1091.3929,-14.76162576,-27.97088464,13620.78447,13472.9778,13325.17113
11/3/2020 10:00,13519.76,13604,13515.6,13561.69,1773.903,-6.07530873,-23.59176946,13633.33338,13481.42658,13329.51978
11/3/2020 10:30,13561.69,13579.32,13522.3,13552.46,1215.9579,6.31E-02,-18.8607859,13646.10336,13488.19167,13330.27998
11/3/2020 11:00,13552.47,13576.26,13493.23,13550.33,1344.0537,4.701846571,-14.14825941,13656.55566,13494.10961,13331.66355
11/3/2020 11:30,13550.33,13554.7,13495,13512.23,1774.2019,5.243255793,-10.26995637,13657.60612,13495.83536,13334.0646
11/3/2020 12:00,13512.23,13539,13467.96,13532.69,1246.2329,7.239821357,-6.768000824,13658.42597,13499.34532,13340.26468
11/3/2020 12:30,13532.69,13550,13493.03,13495.63,1184.5274,5.765223763,-4.261355906,13651.92084,13498.99148,13346.06213
11/3/2020 13:00,13495.63,13529.02,13471,13514.67,996.1,6.063072101,-2.196470305,13652.06958,13500.48468,13348.89978
11/3/2020 13:30,13514.68,13669,13484.36,13656.63,1950.0354,17.55177867,1.753179489,13684.41786,13515.35566,13346.29345
11/3/2020 14:00,13656.62,13740.78,13641.5,13699.72,3171.2273,29.79026069,7.36059573,13724.6623,13532.91417,13341.16604
11/3/2020 14:30,13699.71,13732.72,13676.5,13687.36,1447.7015,38.05334193,13.49914497,13744.83338,13547.62329,13350.41321
11/3/2020 15:00,13688.02,13790,13671.54,13779.58,2229.1675,51.45019085,21.08935415,13797.20221,13569.71441,13342.22661
11/3/2020 15:30,13779.53,13798,13706.04,13745.99,2322.8542,58.68042644,28.60756861,13825.8965,13586.50256,13347.10863
11/3/2020 16:00,13745.99,13766.81,13676.65,13709.59,1995.1445,60.77271442,35.04059777,13830.86774,13598.22517,13365.58261
11/3/2020 16:30,13709.59,13749.88,13680.34,13725,1452.9234,62.94869258,40.62221673,13841.96506,13610.29897,13378.63287
11/3/2020 17:00,13725.01,13740.99,13700,13716.87,853.3976,63.28760776,45.15529494,13846.03068,13620.44859,13394.8665
11/3/2020 17:30,13716.87,13741.13,13708.16,13709,739.2766,62.20410702,48.56505735,13838.13579,13628.88206,13419.62832
11/3/2020 18:00,13709,13769.33,13705.71,13731.68,1211.794,62.45556249,51.34315838,13838.94786,13638.67234,13438.39682
11/3/2020 18:30,13731.69,13780,13729.78,13744.99,890.3036,63.00259384,53.67504547,13848.56928,13648.79783,13449.02638
11/3/2020 19:00,13745,13774.73,13738.58,13740.51,845.6754,62.35582246,55.41120087,13853.93579,13657.53232,13461.12886
